Subj_idx,Stimulus,Response,Confidence,RT_decConf,blocki,triali,keypress,coh_level,coherence,isCalibTrial,stairID,accTarget
7,2,2,2,1.0177428722381592,1,34,comma,3,0.07949578464577023,1,2,0.65
7,1,2,2,0.9313139915466309,1,35,comma,1,0.016530235795273494,1,1,0.52
7,2,2,2,1.1831779479980469,1,36,comma,3,0.0405537021119977,1,1,0.65
7,2,2,2,1.1770849227905273,1,37,comma,1,0.027253751365356058,1,1,0.52
7,1,2,3,1.7949411869049072,1,38,period,3,0.028965011810970165,1,1,0.65
7,2,2,2,0.9307501316070557,1,39,comma,3,0.05677894301309321,1,2,0.65
7,1,2,2,1.10263991355896,1,40,comma,5,0.49404523106357984,1,1,0.78
7,1,2,2,1.5088708400726318,1,41,comma,3,0.04775523107882695,1,1,0.65
7,2,2,3,0.9774260520935059,1,42,period,3,0.07873506526686182,1,1,0.65
7,1,1,3,1.6927130222320557,1,43,x,5,0.5616237838971457,1,2,0.78
7,1,2,2,1.140700101852417,1,44,comma,1,0.018551966455220763,1,1,0.52
7,1,1,3,0.8732709884643555,1,45,x,5,0.470854981064185,1,2,0.78
7,2,2,3,0.7246999740600586,1,46,period,1,0.02651521313787696,1,1,0.52
7,2,2,2,0.8409068584442139,1,47,comma,5,0.3947560974973887,1,2,0.78
7,1,2,2,1.2070410251617432,1,48,comma,3,0.06291154158909117,1,1,0.65
7,2,2,4,3.429197072982788,1,49,slash,5,0.8145428811424837,1,1,0.78
7,1,1,4,1.4530701637268066,1,50,z,5,0.7242275990644245,1,1,0.78
7,1,1,2,2.696084976196289,1,51,c,3,0.08991569374025762,1,1,0.65
7,1,1,3,2.0012199878692627,1,52,x,5,0.6439263387962404,1,1,0.78
7,1,1,3,1.1436419486999512,1,53,x,5,0.33095620260652064,1,2,0.78
7,2,2,3,1.117264986038208,1,54,period,5,0.572528760753076,1,1,0.78
7,1,2,2,1.1816260814666748,1,55,comma,3,0.0405537021119977,1,2,0.65
7,1,1,2,0.7915170192718506,1,56,c,5,0.509047638123056,1,1,0.78
7,1,1,2,0.6782538890838623,1,57,c,1,0.34725624696401963,1,2,0.52
7,1,1,2,2.1641640663146973,1,58,c,1,0.1950273674018544,1,2,0.52
7,1,2,2,0.9559509754180908,1,59,comma,3,0.0759901148702509,1,1,0.65
7,1,2,2,1.268035888671875,1,60,comma,3,0.10032160164398564,1,1,0.65
7,2,2,2,1.6471118927001953,2,61,comma,3,0.06686175127768731,1,2,0.65
7,2,2,2,0.95278000831604,2,62,comma,1,0.019870915112467337,1,1,0.52
7,2,2,2,0.8888030052185059,2,63,comma,1,0.10953200804372829,1,2,0.52
7,1,2,2,0.6852929592132568,2,64,comma,1,0.014891574333333768,1,1,0.52
7,2,2,3,1.260232925415039,2,65,period,1,0.01965974904329788,1,1,0.52
7,2,2,2,0.7867817878723145,2,66,comma,1,0.015608320212488978,1,1,0.52
7,1,2,2,1.0735630989074707,2,67,comma,3,0.1324438550145504,1,1,0.65
7,2,2,2,0.7956130504608154,2,68,comma,5,0.27746755208626733,1,2,0.78
7,2,2,2,1.107409954071045,2,69,comma,1,0.06151578081537125,1,2,0.52
7,1,2,4,2.0747501850128174,2,70,slash,5,0.4526052063093139,1,1,0.78
